pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,15,5246,0,349.73,1592.74,1
2,EXTEND,24,8192,0,341.33,284.01,1
3,EXTEND,94,8192,0,361.07,259.59,1
4,EXTEND,96,8192,0,362.97,262.35,1
5,EXTEND,30,2136,0,352.93,82.29,1
6,DECODE,256,0,256,360.67,47.84,1
7,DECODE,256,0,256,361.67,16.47,1
8,DECODE,256,0,256,362.67,16.55,1
9,DECODE,256,0,256,363.67,16.49,1
10,DECODE,256,0,256,364.67,16.63,1
11,DECODE,256,0,256,365.67,16.30,1
12,DECODE,256,0,256,366.67,16.52,1
13,DECODE,256,0,256,367.67,16.50,1
14,DECODE,256,0,256,368.67,16.69,1
15,DECODE,256,0,256,369.67,16.54,1
16,DECODE,256,0,256,370.67,16.45,1
17,DECODE,256,0,256,371.67,16.50,1
18,DECODE,256,0,256,372.67,16.55,1
19,DECODE,256,0,256,373.67,16.52,1
20,DECODE,256,0,256,374.67,16.61,1
21,DECODE,256,0,256,375.67,16.49,1
22,DECODE,256,0,256,376.67,16.55,1
23,DECODE,256,0,256,377.67,17.12,1
24,DECODE,256,0,256,378.67,17.18,1
25,DECODE,256,0,256,379.67,17.56,1
26,DECODE,256,0,256,380.67,17.46,1
27,DECODE,256,0,256,381.67,17.60,1
28,DECODE,256,0,256,382.67,16.61,1
29,DECODE,256,0,256,383.67,16.51,1
30,DECODE,256,0,256,384.67,16.58,1
31,DECODE,256,0,256,385.67,16.50,1
32,DECODE,256,0,256,386.67,16.52,1
33,DECODE,256,0,256,387.67,16.60,1
34,DECODE,256,0,256,388.67,16.51,1
35,DECODE,256,0,256,389.67,16.44,1
36,DECODE,256,0,256,390.67,16.65,1
37,DECODE,256,0,256,391.67,16.61,1
38,DECODE,256,0,256,392.67,16.61,1
39,DECODE,256,0,256,393.67,16.62,1
40,DECODE,256,0,256,394.67,16.75,1
41,DECODE,256,0,256,395.67,16.67,1
42,DECODE,256,0,256,396.67,16.65,1
43,DECODE,256,0,256,397.67,16.63,1
44,DECODE,256,0,256,398.67,16.66,1
45,DECODE,256,0,256,399.67,16.66,1
46,DECODE,256,0,256,400.67,16.67,1
47,DECODE,256,0,256,401.67,16.68,1
48,DECODE,256,0,256,402.67,16.71,1
49,DECODE,256,0,256,403.67,16.79,1
50,DECODE,256,0,256,404.67,17.55,1
51,DECODE,256,0,256,405.67,17.58,1
52,DECODE,256,0,256,406.67,17.53,1
53,DECODE,256,0,256,407.67,17.60,1
54,DECODE,256,0,256,408.67,17.55,1
55,DECODE,256,0,256,409.67,17.64,1
56,DECODE,256,0,256,410.67,17.62,1
57,DECODE,256,0,256,411.67,17.69,1
58,DECODE,256,0,256,412.67,17.57,1
59,DECODE,256,0,256,413.67,17.67,1
60,DECODE,256,0,256,414.67,17.68,1
61,DECODE,256,0,256,415.67,17.66,1
62,DECODE,256,0,256,416.67,17.68,1
63,DECODE,256,0,256,417.67,17.61,1
64,DECODE,256,0,256,418.67,17.64,1
65,DECODE,256,0,256,419.67,18.10,1
66,DECODE,256,0,256,420.67,17.71,1
67,DECODE,256,0,256,421.67,17.83,1
68,DECODE,256,0,256,422.67,17.68,1
69,DECODE,256,0,256,423.67,17.69,1
70,DECODE,256,0,256,424.67,17.87,1
71,DECODE,256,0,256,425.67,17.81,1
72,DECODE,256,0,256,426.67,17.73,1
73,DECODE,256,0,256,427.67,17.78,1
74,DECODE,256,0,256,428.67,17.68,1
75,DECODE,256,0,256,429.67,17.66,1
76,DECODE,256,0,256,430.67,17.66,1
77,DECODE,256,0,256,431.67,19.73,1
78,DECODE,256,0,256,432.67,17.73,1
79,DECODE,256,0,256,433.67,17.66,1
80,DECODE,256,0,256,434.67,17.67,1
81,DECODE,256,0,256,435.67,17.67,1
82,DECODE,256,0,256,436.67,17.66,1
