pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,3,1058,0,352.67,2056.63,1
2,EXTEND,24,8192,0,341.33,608.31,1
3,EXTEND,69,5622,0,357.10,40.61,1
4,DECODE,95,0,95,355.23,15.66,1
5,DECODE,95,0,95,356.23,5.30,1
6,DECODE,95,0,95,357.23,4.39,1
7,DECODE,95,0,95,358.23,4.29,1
8,DECODE,95,0,95,359.23,4.33,1
9,DECODE,95,0,95,360.23,4.21,1
10,DECODE,95,0,95,361.23,4.30,1
11,DECODE,95,0,95,362.23,4.60,1
12,DECODE,95,0,95,363.23,4.35,1
13,DECODE,95,0,95,364.23,4.29,1
14,DECODE,95,0,95,365.23,4.37,1
15,DECODE,95,0,95,366.23,4.34,1
16,DECODE,95,0,95,367.23,5.36,1
17,DECODE,95,0,95,368.23,4.32,1
18,DECODE,95,0,95,369.23,5.24,1
19,DECODE,95,0,95,370.23,5.67,1
20,DECODE,95,0,95,371.23,5.60,1
21,DECODE,95,0,95,372.23,5.93,1
22,DECODE,95,0,95,373.23,6.02,1
23,DECODE,95,0,95,374.23,5.70,1
24,DECODE,95,0,95,375.23,5.94,1
25,DECODE,95,0,95,376.23,5.97,1
26,DECODE,95,0,95,377.23,5.72,1
27,DECODE,95,0,95,378.23,6.46,1
28,DECODE,95,0,95,379.23,6.74,1
29,DECODE,95,0,95,380.23,6.29,1
30,DECODE,95,0,95,381.23,6.22,1
31,DECODE,95,0,95,382.23,6.87,1
32,DECODE,95,0,95,383.23,4.20,1
33,DECODE,95,0,95,384.23,5.31,1
34,DECODE,95,0,95,385.23,4.95,1
35,DECODE,95,0,95,386.23,5.17,1
36,DECODE,95,0,95,387.23,5.02,1
37,DECODE,95,0,95,388.23,5.15,1
38,DECODE,95,0,95,389.23,5.14,1
39,DECODE,95,0,95,390.23,5.09,1
40,DECODE,95,0,95,391.23,5.07,1
41,DECODE,95,0,95,392.23,5.10,1
42,DECODE,95,0,95,393.23,5.02,1
43,DECODE,95,0,95,394.23,5.10,1
44,DECODE,95,0,95,395.23,5.05,1
45,DECODE,95,0,95,396.23,5.93,1
46,DECODE,95,0,95,397.23,5.16,1
47,DECODE,95,0,95,398.23,5.11,1
48,DECODE,95,0,95,399.23,5.06,1
49,DECODE,95,0,95,400.23,5.18,1
50,DECODE,95,0,95,401.23,5.13,1
51,DECODE,95,0,95,402.23,5.18,1
52,DECODE,95,0,95,403.23,5.03,1
53,DECODE,95,0,95,404.23,5.13,1
54,DECODE,95,0,95,405.23,5.34,1
55,DECODE,95,0,95,406.23,5.21,1
56,DECODE,95,0,95,407.23,5.15,1
57,DECODE,95,0,95,408.23,5.21,1
58,DECODE,95,0,95,409.23,5.23,1
59,DECODE,95,0,95,410.23,5.24,1
60,DECODE,95,0,95,411.23,5.19,1
61,DECODE,95,0,95,412.23,5.02,1
62,DECODE,95,0,95,413.23,5.21,1
63,DECODE,95,0,95,414.23,5.16,1
64,DECODE,95,0,95,415.23,5.44,1
65,DECODE,95,0,95,416.23,5.32,1
66,DECODE,95,0,95,417.23,5.11,1
67,DECODE,95,0,95,418.23,5.31,1
68,DECODE,95,0,95,419.23,5.11,1
69,DECODE,95,0,95,420.23,5.10,1
70,DECODE,95,0,95,421.23,5.15,1
71,DECODE,95,0,95,422.23,5.24,1
72,DECODE,95,0,95,423.23,5.16,1
73,DECODE,95,0,95,424.23,5.27,1
74,DECODE,95,0,95,425.23,5.16,1
75,DECODE,95,0,95,426.23,5.24,1
76,DECODE,95,0,95,427.23,5.21,1
77,DECODE,95,0,95,428.23,5.21,1
78,DECODE,95,0,95,429.23,5.19,1
79,DECODE,95,0,95,430.23,5.30,1
80,DECODE,95,0,95,431.23,5.47,1
81,DECODE,95,0,95,432.23,5.23,1
82,DECODE,95,0,95,433.23,5.06,1
83,DECODE,95,0,95,434.23,5.29,1
84,DECODE,95,0,95,435.23,4.75,1
85,DECODE,95,0,95,436.23,5.08,1
86,DECODE,95,0,95,437.23,4.93,1
87,DECODE,95,0,95,438.23,5.04,1
88,DECODE,94,0,94,439.40,5.06,1
89,EXTEND,30,2254,0,353.50,45.27,1
90,DECODE,124,0,124,419.62,6.03,1
91,DECODE,124,0,124,420.62,4.62,1
92,DECODE,123,0,123,421.59,4.65,1
