pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,2,782,0,391.00,1961.10,1
2,EXTEND,23,8192,0,356.17,580.00,1
3,EXTEND,59,4114,0,348.85,44.71,1
4,DECODE,83,0,83,353.22,17.61,1
5,DECODE,83,0,83,354.22,5.39,1
6,DECODE,83,0,83,355.22,5.03,1
7,DECODE,83,0,83,356.22,5.02,1
8,DECODE,83,0,83,357.22,5.07,1
9,DECODE,83,0,83,358.22,5.01,1
10,DECODE,83,0,83,359.22,4.99,1
11,DECODE,83,0,83,360.22,5.03,1
12,DECODE,83,0,83,361.22,5.02,1
13,DECODE,83,0,83,362.22,4.99,1
14,DECODE,83,0,83,363.22,5.02,1
15,DECODE,83,0,83,364.22,4.98,1
16,DECODE,83,0,83,365.22,4.99,1
17,DECODE,83,0,83,366.22,4.99,1
18,DECODE,83,0,83,367.22,5.02,1
19,DECODE,83,0,83,368.22,5.02,1
20,DECODE,83,0,83,369.22,4.98,1
21,DECODE,83,0,83,370.22,4.99,1
22,DECODE,83,0,83,371.22,4.99,1
23,DECODE,83,0,83,372.22,4.98,1
24,DECODE,83,0,83,373.22,4.98,1
25,DECODE,83,0,83,374.22,4.97,1
26,DECODE,83,0,83,375.22,4.97,1
27,DECODE,83,0,83,376.22,4.98,1
28,DECODE,83,0,83,377.22,4.98,1
29,DECODE,83,0,83,378.22,5.00,1
30,DECODE,83,0,83,379.22,4.99,1
31,DECODE,83,0,83,380.22,5.00,1
32,DECODE,83,0,83,381.22,4.99,1
33,DECODE,83,0,83,382.22,5.00,1
34,DECODE,83,0,83,383.22,5.03,1
35,DECODE,83,0,83,384.22,4.98,1
36,DECODE,83,0,83,385.22,5.00,1
37,DECODE,83,0,83,386.22,4.98,1
38,DECODE,83,0,83,387.22,5.05,1
39,DECODE,83,0,83,388.22,4.98,1
40,DECODE,83,0,83,389.22,5.01,1
41,DECODE,83,0,83,390.22,5.00,1
42,DECODE,83,0,83,391.22,5.02,1
43,DECODE,83,0,83,392.22,4.98,1
44,DECODE,83,0,83,393.22,5.03,1
45,DECODE,83,0,83,394.22,4.98,1
46,DECODE,83,0,83,395.22,5.00,1
