pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,8,2376,0,297.00,1914.47,1
2,EXTEND,26,8192,0,315.08,293.24,1
3,EXTEND,31,2892,0,336.58,100.94,1
4,DECODE,64,0,64,328.50,23.79,1
5,DECODE,64,0,64,329.50,11.05,1
6,DECODE,64,0,64,330.50,10.99,1
7,DECODE,64,0,64,331.50,10.99,1
8,DECODE,64,0,64,332.50,11.44,1
9,DECODE,64,0,64,333.50,11.64,1
10,DECODE,64,0,64,334.50,11.56,1
11,DECODE,64,0,64,335.50,10.97,1
12,DECODE,64,0,64,336.50,10.93,1
13,DECODE,64,0,64,337.50,11.72,1
14,DECODE,64,0,64,338.50,10.93,1
15,DECODE,64,0,64,339.50,10.96,1
16,DECODE,64,0,64,340.50,11.73,1
17,DECODE,64,0,64,341.50,14.56,1
18,DECODE,64,0,64,342.50,11.46,1
19,DECODE,64,0,64,343.50,10.89,1
20,DECODE,64,0,64,344.50,10.97,1
21,DECODE,64,0,64,345.50,10.95,1
22,DECODE,64,0,64,346.50,10.91,1
23,DECODE,64,0,64,347.50,10.89,1
24,DECODE,64,0,64,348.50,10.92,1
25,DECODE,64,0,64,349.50,10.93,1
26,DECODE,64,0,64,350.50,10.91,1
27,DECODE,64,0,64,351.50,10.96,1
28,DECODE,64,0,64,352.50,11.65,1
29,DECODE,64,0,64,353.50,11.73,1
30,DECODE,64,0,64,354.50,11.72,1
31,DECODE,64,0,64,355.50,11.72,1
32,DECODE,64,0,64,356.50,11.73,1
33,DECODE,64,0,64,357.50,11.87,1
34,DECODE,64,0,64,358.50,11.77,1
35,DECODE,64,0,64,359.50,11.75,1
36,DECODE,64,0,64,360.50,11.69,1
37,EXTEND,2,231,0,365.50,61.12,1
38,EXTEND,30,2109,0,320.70,76.64,1
39,DECODE,96,0,96,349.17,14.19,1
40,DECODE,96,0,96,350.17,12.04,1
41,DECODE,96,0,96,351.17,12.02,1
42,DECODE,96,0,96,352.17,11.95,1
43,DECODE,96,0,96,353.17,11.82,1
44,DECODE,96,0,96,354.17,12.41,1
45,DECODE,96,0,96,355.17,11.85,1
46,DECODE,96,0,96,356.17,11.90,1
47,DECODE,96,0,96,357.17,12.00,1
48,DECODE,96,0,96,358.17,11.92,1
49,DECODE,96,0,96,359.17,11.99,1
50,DECODE,96,0,96,360.17,11.96,1
51,DECODE,96,0,96,361.17,11.97,1
52,DECODE,96,0,96,362.17,11.95,1
53,DECODE,96,0,96,363.17,11.95,1
54,DECODE,96,0,96,364.17,11.92,1
55,EXTEND,17,1167,0,320.88,50.86,1
56,EXTEND,15,1089,0,323.27,47.67,1
57,DECODE,128,0,128,354.62,14.56,1
58,EXTEND,32,3604,0,363.75,120.02,1
59,EXTEND,27,2025,0,326.00,69.70,1
60,EXTEND,5,411,0,333.20,58.43,1
61,EXTEND,32,2812,0,339.62,95.74,1
62,DECODE,224,0,224,350.86,18.77,1
63,DECODE,224,0,224,351.86,16.07,1
64,DECODE,224,0,224,352.86,16.01,1
65,DECODE,224,0,224,353.86,15.90,1
66,DECODE,224,0,224,354.86,15.64,1
67,DECODE,224,0,224,355.86,15.73,1
68,DECODE,224,0,224,356.86,15.90,1
69,DECODE,224,0,224,357.86,15.80,1
70,DECODE,224,0,224,358.86,15.77,1
71,DECODE,224,0,224,359.86,15.93,1
72,DECODE,224,0,224,360.86,16.64,1
73,DECODE,224,0,224,361.86,16.56,1
74,DECODE,224,0,224,362.86,16.69,1
75,DECODE,224,0,224,363.86,16.45,1
76,EXTEND,31,1700,0,305.84,79.83,1
77,EXTEND,1,36,0,287.00,32.70,1
78,DECODE,256,0,256,357.53,18.20,1
79,DECODE,256,0,256,358.53,16.69,1
80,DECODE,256,0,256,359.53,16.67,1
81,DECODE,256,0,256,360.53,16.53,1
82,DECODE,256,0,256,361.53,16.78,1
83,DECODE,256,0,256,362.53,16.52,1
84,DECODE,256,0,256,363.53,17.19,1
85,DECODE,256,0,256,364.53,17.16,1
86,DECODE,256,0,256,365.53,17.44,1
87,DECODE,256,0,256,366.53,17.42,1
88,DECODE,256,0,256,367.53,17.43,1
89,DECODE,256,0,256,368.53,17.40,1
90,DECODE,256,0,256,369.53,17.44,1
91,DECODE,256,0,256,370.53,17.34,1
92,DECODE,256,0,256,371.53,17.28,1
93,DECODE,256,0,256,372.53,17.36,1
94,DECODE,256,0,256,373.53,17.37,1
95,DECODE,256,0,256,374.53,17.47,1
96,DECODE,256,0,256,375.53,17.37,1
97,DECODE,256,0,256,376.53,17.34,1
98,DECODE,256,0,256,377.53,17.38,1
99,DECODE,256,0,256,378.53,17.37,1
100,DECODE,256,0,256,379.53,17.40,1
