pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,2,570,0,285.00,1389.21,1
2,EXTEND,25,8192,0,327.68,59.20,1
3,EXTEND,69,5834,0,333.58,40.01,1
4,DECODE,95,0,95,333.59,17.68,1
5,DECODE,95,0,95,334.59,4.50,1
6,DECODE,95,0,95,335.59,4.10,1
7,DECODE,95,0,95,336.59,5.74,1
8,DECODE,95,0,95,337.59,4.09,1
9,DECODE,95,0,95,338.59,4.10,1
10,DECODE,95,0,95,339.59,4.07,1
11,DECODE,95,0,95,340.59,4.10,1
12,DECODE,95,0,95,341.59,4.12,1
13,DECODE,95,0,95,342.59,4.11,1
14,DECODE,95,0,95,343.59,4.07,1
15,DECODE,95,0,95,344.59,4.15,1
16,DECODE,95,0,95,345.59,4.13,1
17,DECODE,95,0,95,346.59,4.11,1
18,DECODE,95,0,95,347.59,4.09,1
19,DECODE,95,0,95,348.59,4.15,1
20,DECODE,95,0,95,349.59,4.03,1
21,DECODE,95,0,95,350.59,4.04,1
22,DECODE,95,0,95,351.59,4.14,1
23,DECODE,95,0,95,352.59,4.17,1
24,DECODE,95,0,95,353.59,4.78,1
25,DECODE,95,0,95,354.59,4.81,1
26,DECODE,95,0,95,355.59,4.76,1
27,DECODE,95,0,95,356.59,5.03,1
28,DECODE,95,0,95,357.59,4.87,1
29,DECODE,95,0,95,358.59,4.85,1
30,DECODE,95,0,95,359.59,5.05,1
31,DECODE,95,0,95,360.59,5.12,1
32,DECODE,95,0,95,361.59,5.14,1
33,DECODE,95,0,95,362.59,5.01,1
34,DECODE,95,0,95,363.59,4.88,1
35,DECODE,95,0,95,364.59,4.94,1
36,DECODE,95,0,95,365.59,4.84,1
37,DECODE,95,0,95,366.59,5.02,1
38,DECODE,95,0,95,367.59,4.89,1
39,DECODE,95,0,95,368.59,4.98,1
40,DECODE,95,0,95,369.59,4.89,1
41,DECODE,95,0,95,370.59,5.02,1
42,DECODE,95,0,95,371.59,5.02,1
43,DECODE,95,0,95,372.59,5.07,1
44,DECODE,95,0,95,373.59,4.89,1
45,DECODE,95,0,95,374.59,4.85,1
46,DECODE,95,0,95,375.59,4.86,1
