pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,354,0,354.00,2715.38,1
2,EXTEND,24,8192,0,341.33,93.97,1
3,EXTEND,276,4813,0,355.36,45.45,1
4,DECODE,300,0,300,356.28,20.87,1
5,DECODE,300,0,300,357.28,7.22,1
6,DECODE,300,0,300,358.28,7.01,1
7,DECODE,300,0,300,359.28,6.95,1
8,DECODE,300,0,300,360.28,7.05,1
9,DECODE,300,0,300,361.28,7.08,1
10,DECODE,300,0,300,362.28,7.01,1
11,DECODE,300,0,300,363.28,7.03,1
12,DECODE,300,0,300,364.28,7.02,1
13,DECODE,300,0,300,365.28,7.00,1
14,DECODE,300,0,300,366.28,6.96,1
15,DECODE,300,0,300,367.28,7.03,1
16,DECODE,300,0,300,368.28,7.03,1
17,DECODE,300,0,300,369.28,7.01,1
18,DECODE,300,0,300,370.28,7.08,1
19,DECODE,300,0,300,371.28,7.06,1
20,DECODE,300,0,300,372.28,7.09,1
21,DECODE,300,0,300,373.28,8.00,1
22,DECODE,300,0,300,374.28,7.93,1
23,DECODE,299,0,299,375.28,8.19,1
24,EXTEND,94,1274,0,354.74,33.11,1
25,DECODE,386,0,386,371.28,8.99,1
26,EXTEND,35,483,0,354.97,24.98,1
27,DECODE,404,0,404,370.72,9.43,1
28,EXTEND,23,339,0,357.13,18.03,1
29,DECODE,410,0,410,370.72,8.61,1
30,EXTEND,19,264,0,354.95,19.40,1
31,DECODE,401,0,401,370.46,8.57,1
32,EXTEND,26,350,0,355.62,17.80,1
33,DECODE,394,0,394,369.76,8.02,1
34,EXTEND,31,403,0,355.68,22.11,1
35,DECODE,392,0,392,368.80,8.29,1
36,EXTEND,33,460,0,355.55,19.15,1
37,DECODE,383,0,383,367.32,8.63,1
38,EXTEND,39,475,0,353.92,20.91,1
39,DECODE,399,0,399,366.14,8.19,1
40,EXTEND,29,396,0,354.79,22.28,1
41,DECODE,405,0,405,365.34,8.59,1
42,EXTEND,25,299,0,355.08,16.86,1
43,DECODE,418,0,418,365.19,9.18,1
44,EXTEND,17,228,0,355.82,21.45,1
45,DECODE,425,0,425,365.31,8.48,1
46,EXTEND,13,177,0,355.77,18.63,1
47,DECODE,428,0,428,365.48,8.41,1
48,EXTEND,11,146,0,355.00,21.09,1
49,DECODE,430,0,430,365.75,8.79,1
50,EXTEND,10,120,0,354.70,15.96,1
51,DECODE,428,0,428,365.85,8.82,1
52,EXTEND,12,136,0,356.67,14.74,1
53,DECODE,431,0,431,366.10,8.33,1
54,EXTEND,11,119,0,355.27,23.65,1
55,DECODE,441,0,441,366.77,10.21,1
56,EXTEND,4,56,0,355.00,13.35,1
57,DECODE,442,0,442,367.49,9.40,1
