pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,354,0,354.00,1986.86,1
2,EXTEND,24,8192,0,341.33,591.56,1
3,EXTEND,429,7286,0,355.29,71.92,1
4,DECODE,453,0,453,356.24,36.96,1
5,DECODE,453,0,453,357.24,12.01,1
6,DECODE,453,0,453,358.24,10.03,1
7,DECODE,453,0,453,359.24,9.36,1
8,DECODE,453,0,453,360.24,9.34,1
9,DECODE,453,0,453,361.24,9.32,1
10,DECODE,453,0,453,362.24,9.45,1
11,DECODE,453,0,453,363.24,9.67,1
12,DECODE,453,0,453,364.24,9.86,1
13,DECODE,453,0,453,365.24,9.63,1
14,DECODE,453,0,453,366.24,9.45,1
15,DECODE,453,0,453,367.24,9.82,1
16,DECODE,453,0,453,368.24,9.82,1
17,DECODE,453,0,453,369.24,9.74,1
18,DECODE,452,0,452,370.25,9.93,1
19,EXTEND,139,1891,0,355.14,38.65,1
20,DECODE,591,0,591,367.69,27.08,1
21,DECODE,591,0,591,368.69,19.83,1
22,DECODE,591,0,591,369.69,18.61,1
23,DECODE,591,0,591,370.69,20.18,1
24,DECODE,588,0,588,371.68,20.08,1
25,EXTEND,49,647,0,354.55,24.38,1
26,DECODE,630,0,630,371.33,36.71,1
27,EXTEND,21,269,0,356.05,309.08,1
28,DECODE,640,0,640,371.76,20.23,1
29,EXTEND,15,191,0,356.27,35.52,1
30,DECODE,625,0,625,372.19,20.00,1
31,EXTEND,26,306,0,354.62,34.38,1
32,DECODE,610,0,610,372.03,23.91,1
33,EXTEND,36,521,0,355.92,24.89,1
34,DECODE,583,0,583,371.35,20.94,1
35,EXTEND,55,771,0,355.98,19.95,1
36,DECODE,587,0,587,370.16,20.23,1
37,EXTEND,53,706,0,355.19,20.46,1
38,DECODE,593,0,593,368.95,19.22,1
39,EXTEND,50,707,0,355.12,16.80,1
40,DECODE,611,0,611,368.11,18.62,1
41,EXTEND,38,521,0,355.50,14.51,1
42,DECODE,621,0,621,367.66,17.78,1
43,EXTEND,32,490,0,356.78,22.08,1
44,DECODE,633,0,633,367.59,17.50,1
45,EXTEND,25,337,0,355.00,18.12,1
46,DECODE,634,0,634,367.38,17.34,1
47,EXTEND,25,384,0,356.48,13.63,1
48,DECODE,647,0,647,367.60,17.06,1
49,EXTEND,7,59,0,355.43,30.14,1
50,DECODE,644,0,644,368.16,16.70,1
51,DECODE,644,0,644,369.16,14.34,1
52,DECODE,634,0,634,369.83,14.41,1
53,DECODE,622,0,622,370.43,17.50,1
54,DECODE,613,0,613,371.13,17.77,1
55,DECODE,603,0,603,371.84,18.82,1
56,DECODE,584,0,584,372.39,20.14,1
57,DECODE,563,0,563,372.94,25.99,1
58,DECODE,538,0,538,373.54,20.95,1
59,DECODE,521,0,521,374.29,16.91,1
60,DECODE,501,0,501,374.94,13.30,1
61,DECODE,482,0,482,375.70,12.75,1
62,DECODE,454,0,454,376.17,9.62,1
63,DECODE,440,0,440,377.01,11.89,1
64,DECODE,419,0,419,377.70,10.91,1
65,DECODE,398,0,398,378.38,10.13,1
66,DECODE,389,0,389,379.34,8.35,1
67,DECODE,362,0,362,380.13,10.56,1
68,DECODE,323,0,323,381.13,9.96,1
69,DECODE,291,0,291,381.86,9.68,1
70,DECODE,263,0,263,382.85,8.14,1
71,DECODE,232,0,232,383.69,8.50,1
72,DECODE,189,0,189,384.57,6.92,1
73,DECODE,160,0,160,385.75,6.50,1
74,DECODE,138,0,138,387.05,6.51,1
75,DECODE,120,0,120,388.17,6.06,1
76,DECODE,97,0,97,389.71,6.97,1
77,DECODE,85,0,85,390.94,7.12,1
78,DECODE,73,0,73,391.23,5.94,1
79,DECODE,58,0,58,392.28,6.51,1
80,DECODE,50,0,50,393.54,6.46,1
