pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,354,0,354.00,2538.02,1
2,EXTEND,24,8192,0,341.33,90.39,1
3,EXTEND,310,5355,0,355.32,50.57,1
4,DECODE,334,0,334,356.25,55.72,1
5,DECODE,334,0,334,357.25,12.11,1
6,DECODE,334,0,334,358.25,7.95,1
7,DECODE,334,0,334,359.25,7.89,1
8,DECODE,334,0,334,360.25,8.49,1
9,DECODE,334,0,334,361.25,7.74,1
10,DECODE,334,0,334,362.25,8.65,1
11,DECODE,334,0,334,363.25,7.99,1
12,DECODE,334,0,334,364.25,8.57,1
13,DECODE,334,0,334,365.25,8.57,1
14,DECODE,334,0,334,366.25,8.45,1
15,DECODE,334,0,334,367.25,8.49,1
16,DECODE,334,0,334,368.25,9.08,1
17,DECODE,334,0,334,369.25,8.15,1
18,DECODE,334,0,334,370.25,7.84,1
19,DECODE,334,0,334,371.25,7.78,1
20,DECODE,334,0,334,372.25,7.83,1
21,DECODE,334,0,334,373.25,9.87,1
22,DECODE,334,0,334,374.25,8.77,1
23,DECODE,332,0,332,375.24,8.75,1
24,EXTEND,103,1394,0,354.81,26.14,1
25,DECODE,431,0,431,371.38,11.53,1
26,EXTEND,36,530,0,356.31,27.33,1
27,DECODE,456,0,456,371.11,10.54,1
28,EXTEND,20,231,0,355.25,26.14,1
29,DECODE,450,0,450,371.13,9.60,1
30,EXTEND,24,299,0,356.17,20.79,1
31,DECODE,442,0,442,370.84,11.38,1
32,EXTEND,30,365,0,354.93,22.73,1
33,DECODE,429,0,429,369.90,9.04,1
34,EXTEND,39,519,0,354.79,20.87,1
35,DECODE,423,0,423,368.41,9.13,1
36,EXTEND,44,570,0,354.55,23.58,1
37,DECODE,431,0,431,366.93,9.06,1
38,EXTEND,39,520,0,355.36,18.71,1
39,DECODE,440,0,440,365.84,10.08,1
40,EXTEND,33,417,0,355.36,20.83,1
41,DECODE,448,0,448,365.07,9.69,1
42,EXTEND,28,390,0,355.79,20.98,1
43,DECODE,464,0,464,365.01,9.44,1
44,EXTEND,18,230,0,355.67,22.74,1
45,DECODE,472,0,472,365.19,10.33,1
46,EXTEND,13,179,0,355.08,20.09,1
47,DECODE,480,0,480,365.70,9.41,1
48,EXTEND,8,68,0,356.38,24.60,1
49,DECODE,482,0,482,366.25,10.31,1
50,EXTEND,7,51,0,354.43,19.50,1
