pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,313,0,313.00,2185.21,1
2,EXTEND,27,8192,0,303.41,88.11,1
3,EXTEND,285,4967,0,314.49,36.86,1
4,DECODE,312,0,312,315.44,29.05,1
5,DECODE,312,0,312,316.44,7.32,1
6,DECODE,312,0,312,317.44,6.67,1
7,DECODE,312,0,312,318.44,6.52,1
8,DECODE,312,0,312,319.44,6.63,1
9,DECODE,312,0,312,320.44,6.57,1
10,DECODE,312,0,312,321.44,6.63,1
11,DECODE,312,0,312,322.44,6.66,1
12,DECODE,312,0,312,323.44,6.65,1
13,DECODE,312,0,312,324.44,6.85,1
14,DECODE,312,0,312,325.44,7.30,1
15,DECODE,312,0,312,326.44,7.38,1
16,DECODE,312,0,312,327.44,7.34,1
17,DECODE,312,0,312,328.44,7.28,1
18,DECODE,312,0,312,329.44,7.48,1
19,DECODE,312,0,312,330.44,7.29,1
20,DECODE,312,0,312,331.44,7.88,1
21,DECODE,312,0,312,332.44,7.80,1
22,DECODE,312,0,312,333.44,7.86,1
23,DECODE,312,0,312,334.44,7.83,1
24,DECODE,312,0,312,335.44,7.88,1
25,DECODE,312,0,312,336.44,7.89,1
26,DECODE,312,0,312,337.44,7.90,1
27,DECODE,312,0,312,338.44,7.84,1
28,DECODE,312,0,312,339.44,7.85,1
29,DECODE,312,0,312,340.44,7.85,1
30,DECODE,312,0,312,341.44,7.79,1
31,DECODE,312,0,312,342.44,7.82,1
32,DECODE,312,0,312,343.44,8.90,1
33,DECODE,312,0,312,344.44,7.98,1
34,DECODE,312,0,312,345.44,7.97,1
35,DECODE,312,0,312,346.44,8.96,1
36,DECODE,312,0,312,347.44,7.78,1
37,DECODE,312,0,312,348.44,7.67,1
38,DECODE,312,0,312,349.44,7.82,1
39,DECODE,312,0,312,350.44,7.75,1
40,DECODE,312,0,312,351.44,7.75,1
41,DECODE,312,0,312,352.44,7.72,1
42,DECODE,312,0,312,353.44,7.80,1
43,DECODE,312,0,312,354.44,7.74,1
44,DECODE,312,0,312,355.44,7.76,1
45,DECODE,312,0,312,356.44,7.72,1
46,DECODE,312,0,312,357.44,7.78,1
47,DECODE,312,0,312,358.44,7.75,1
48,DECODE,312,0,312,359.44,7.81,1
49,DECODE,312,0,312,360.44,7.78,1
50,DECODE,312,0,312,361.44,7.78,1
51,DECODE,312,0,312,362.44,7.82,1
52,DECODE,312,0,312,363.44,7.49,1
53,DECODE,312,0,312,364.44,7.47,1
54,DECODE,312,0,312,365.44,8.02,1
55,DECODE,312,0,312,366.44,7.69,1
56,DECODE,312,0,312,367.44,7.67,1
57,DECODE,312,0,312,368.44,7.61,1
