pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,313,0,313.00,2519.11,1
2,EXTEND,27,8192,0,303.41,364.01,1
3,EXTEND,393,6691,0,314.35,42.88,1
4,DECODE,420,0,420,315.31,21.03,1
5,DECODE,420,0,420,316.31,9.57,1
6,DECODE,420,0,420,317.31,7.83,1
7,DECODE,420,0,420,318.31,7.93,1
8,DECODE,420,0,420,319.31,7.87,1
9,DECODE,420,0,420,320.31,7.89,1
10,DECODE,420,0,420,321.31,7.94,1
11,DECODE,420,0,420,322.31,7.93,1
12,DECODE,420,0,420,323.31,7.89,1
13,DECODE,420,0,420,324.31,7.93,1
14,DECODE,420,0,420,325.31,7.90,1
15,DECODE,420,0,420,326.31,7.89,1
16,DECODE,420,0,420,327.31,7.90,1
17,DECODE,420,0,420,328.31,9.07,1
18,DECODE,420,0,420,329.31,7.87,1
19,DECODE,420,0,420,330.31,7.84,1
20,DECODE,420,0,420,331.31,7.78,1
21,DECODE,420,0,420,332.31,7.88,1
22,DECODE,420,0,420,333.31,7.87,1
23,DECODE,420,0,420,334.31,7.90,1
24,DECODE,420,0,420,335.31,7.86,1
25,DECODE,420,0,420,336.31,7.83,1
26,DECODE,420,0,420,337.31,7.84,1
27,DECODE,420,0,420,338.31,7.86,1
28,DECODE,419,0,419,339.32,7.79,1
29,EXTEND,132,1912,0,314.70,29.01,1
30,DECODE,499,0,499,333.91,9.75,1
31,EXTEND,78,1064,0,313.79,27.30,1
32,DECODE,529,0,529,331.45,214.62,1
33,EXTEND,59,814,0,314.61,29.91,1
34,DECODE,521,0,521,329.39,27.15,1
35,EXTEND,65,899,0,314.62,23.55,1
36,DECODE,509,0,509,326.61,9.34,1
37,EXTEND,74,1006,0,314.76,23.11,1
38,DECODE,516,0,516,323.67,25.56,1
39,EXTEND,70,1016,0,314.34,22.03,1
40,DECODE,557,0,557,322.37,27.58,1
41,EXTEND,43,646,0,315.30,26.44,1
42,DECODE,583,0,583,322.14,31.15,1
43,EXTEND,26,344,0,314.77,22.45,1
44,DECODE,589,0,589,321.88,22.22,1
45,EXTEND,23,311,0,314.00,24.81,1
46,DECODE,609,0,609,322.45,27.93,1
47,EXTEND,10,130,0,315.20,31.85,1
48,DECODE,614,0,614,323.09,23.48,1
49,EXTEND,7,89,0,314.00,284.49,1
50,DECODE,616,0,616,323.73,116.26,1
51,EXTEND,6,71,0,314.50,25.47,1
52,DECODE,621,0,621,324.60,27.57,1
53,EXTEND,4,19,0,319.50,18.82,1
54,DECODE,625,0,625,325.57,27.75,1
55,DECODE,625,0,625,326.57,17.22,1
56,DECODE,625,0,625,327.57,16.76,1
57,DECODE,625,0,625,328.57,16.83,1
58,DECODE,625,0,625,329.57,16.59,1
59,DECODE,625,0,625,330.57,16.53,1
60,DECODE,625,0,625,331.57,16.55,1
61,DECODE,625,0,625,332.57,16.87,1
62,DECODE,625,0,625,333.57,16.67,1
63,DECODE,625,0,625,334.57,16.56,1
64,DECODE,624,0,624,335.53,22.77,1
65,EXTEND,7,59,0,314.43,22.42,1
66,DECODE,631,0,631,336.29,27.44,1
67,DECODE,631,0,631,337.29,20.77,1
68,DECODE,622,0,622,338.27,22.95,1
69,DECODE,606,0,606,339.16,24.99,1
70,DECODE,581,0,581,340.13,21.99,1
71,DECODE,541,0,541,341.06,24.09,1
72,DECODE,495,0,495,341.95,9.73,1
73,DECODE,439,0,439,342.86,9.32,1
74,DECODE,399,0,399,343.69,8.72,1
75,DECODE,351,0,351,344.68,8.25,1
76,DECODE,269,0,269,345.79,7.62,1
77,DECODE,232,0,232,347.12,7.08,1
78,DECODE,196,0,196,348.49,6.57,1
79,DECODE,152,0,152,350.26,6.21,1
80,DECODE,121,0,121,352.42,5.55,1
81,DECODE,108,0,108,354.41,5.38,1
82,DECODE,92,0,92,356.03,5.08,1
83,DECODE,83,0,83,357.57,5.01,1
84,DECODE,79,0,79,359.14,4.88,1
85,DECODE,77,0,77,360.36,4.04,1
86,DECODE,73,0,73,361.84,4.04,1
87,DECODE,71,0,71,363.04,4.92,1
88,DECODE,71,0,71,364.04,4.03,1
89,DECODE,68,0,68,365.43,3.99,1
90,DECODE,68,0,68,366.43,4.01,1
91,DECODE,65,0,65,367.86,3.91,1
92,DECODE,65,0,65,368.86,3.87,1
