pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms,global_step
1,EXTEND,1,313,0,313.00,2005.45,1
2,EXTEND,27,8192,0,303.41,95.55,1
3,EXTEND,395,6721,0,314.34,43.98,1
4,DECODE,422,0,422,315.31,42.38,1
5,DECODE,422,0,422,316.31,8.60,1
6,DECODE,422,0,422,317.31,7.82,1
7,DECODE,422,0,422,318.31,7.68,1
8,DECODE,422,0,422,319.31,7.73,1
9,DECODE,422,0,422,320.31,7.63,1
10,DECODE,422,0,422,321.31,8.34,1
11,DECODE,422,0,422,322.31,7.74,1
12,DECODE,422,0,422,323.31,7.77,1
13,DECODE,422,0,422,324.31,7.65,1
14,DECODE,422,0,422,325.31,8.52,1
15,DECODE,422,0,422,326.31,8.34,1
16,DECODE,422,0,422,327.31,8.34,1
17,DECODE,422,0,422,328.31,8.31,1
18,DECODE,422,0,422,329.31,8.46,1
19,DECODE,422,0,422,330.31,8.35,1
20,DECODE,422,0,422,331.31,8.55,1
21,DECODE,422,0,422,332.31,8.28,1
22,DECODE,422,0,422,333.31,8.62,1
23,DECODE,422,0,422,334.31,8.57,1
24,DECODE,422,0,422,335.31,8.65,1
25,DECODE,422,0,422,336.31,8.69,1
26,DECODE,422,0,422,337.31,8.71,1
27,DECODE,422,0,422,338.31,8.73,1
28,DECODE,422,0,422,339.31,8.57,1
29,DECODE,422,0,422,340.31,8.62,1
30,DECODE,422,0,422,341.31,8.79,1
31,DECODE,422,0,422,342.31,8.69,1
32,DECODE,422,0,422,343.31,8.75,1
33,DECODE,422,0,422,344.31,8.62,1
34,DECODE,422,0,422,345.31,8.66,1
35,DECODE,422,0,422,346.31,8.62,1
36,DECODE,422,0,422,347.31,8.63,1
37,DECODE,422,0,422,348.31,8.69,1
38,DECODE,422,0,422,349.31,8.77,1
39,DECODE,422,0,422,350.31,8.72,1
40,DECODE,422,0,422,351.31,8.79,1
41,DECODE,422,0,422,352.31,8.78,1
42,DECODE,422,0,422,353.31,8.80,1
43,DECODE,422,0,422,354.31,8.72,1
44,DECODE,422,0,422,355.31,8.81,1
45,DECODE,422,0,422,356.31,8.72,1
46,DECODE,422,0,422,357.31,8.78,1
47,DECODE,422,0,422,358.31,8.70,1
48,DECODE,422,0,422,359.31,8.75,1
49,DECODE,422,0,422,360.31,8.64,1
50,DECODE,422,0,422,361.31,8.72,1
51,DECODE,422,0,422,362.31,8.79,1
52,DECODE,422,0,422,363.31,8.77,1
53,DECODE,422,0,422,364.31,8.75,1
54,DECODE,422,0,422,365.31,8.71,1
55,DECODE,422,0,422,366.31,8.78,1
56,DECODE,422,0,422,367.31,8.76,1
57,DECODE,422,0,422,368.31,8.83,1
58,DECODE,422,0,422,369.31,8.73,1
59,DECODE,422,0,422,370.31,8.71,1
60,DECODE,422,0,422,371.31,8.71,1
61,DECODE,422,0,422,372.31,8.72,1
62,DECODE,422,0,422,373.31,8.74,1
63,DECODE,422,0,422,374.31,8.75,1
64,DECODE,422,0,422,375.31,8.70,1
65,DECODE,422,0,422,376.31,8.81,1
66,DECODE,422,0,422,377.31,8.77,1
67,DECODE,422,0,422,378.31,8.78,1
68,DECODE,422,0,422,379.31,8.80,1
