pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,1,143,0,143.00,40.27
1,EXTEND,1,184,0,184.00,38.51
1,EXTEND,1,135,0,135.00,52.26
1,EXTEND,1,157,0,157.00,36.78
2,EXTEND,29,4693,0,161.83,125.86
2,EXTEND,29,4734,0,163.24,110.14
2,EXTEND,29,4720,0,162.76,98.18
2,EXTEND,29,4742,0,163.52,102.29
3,DECODE,30,0,30,163.57,19.01
3,DECODE,30,0,30,163.57,18.73
4,DECODE,29,0,29,164.41,7.26
4,DECODE,30,0,30,164.57,7.27
3,DECODE,30,0,30,163.57,18.27
5,DECODE,30,0,30,165.57,7.20
5,EXTEND,9,666,0,160.67,22.60
6,DECODE,30,0,30,166.57,7.20
4,DECODE,30,0,30,164.57,7.26
3,DECODE,30,0,30,163.57,18.61
6,DECODE,38,0,38,164.53,8.50
7,DECODE,30,0,30,167.57,7.17
5,DECODE,30,0,30,165.57,7.18
7,DECODE,38,0,38,165.53,7.43
8,DECODE,30,0,30,168.57,7.17
6,DECODE,30,0,30,166.57,7.16
4,DECODE,30,0,30,164.57,7.22
9,DECODE,30,0,30,169.57,7.17
8,DECODE,38,0,38,166.53,7.41
7,DECODE,30,0,30,167.57,7.16
5,DECODE,30,0,30,165.57,7.15
10,DECODE,30,0,30,170.57,7.18
9,DECODE,38,0,38,167.53,7.43
8,DECODE,30,0,30,168.57,7.15
6,DECODE,30,0,30,166.57,7.15
11,DECODE,30,0,30,171.57,7.18
10,DECODE,38,0,38,168.53,7.40
9,DECODE,30,0,30,169.57,7.17
7,DECODE,30,0,30,167.57,7.15
12,DECODE,30,0,30,172.57,7.17
11,DECODE,38,0,38,169.53,7.40
10,DECODE,30,0,30,170.57,7.16
8,DECODE,30,0,30,168.57,7.13
13,DECODE,30,0,30,173.57,7.21
12,DECODE,38,0,38,170.53,7.43
11,DECODE,30,0,30,171.57,7.15
9,DECODE,30,0,30,169.57,7.13
14,DECODE,30,0,30,174.57,7.17
13,DECODE,38,0,38,171.53,7.40
12,DECODE,30,0,30,172.57,7.15
10,DECODE,30,0,30,170.57,7.14
15,DECODE,30,0,30,175.57,7.16
14,DECODE,38,0,38,172.53,7.39
13,DECODE,30,0,30,173.57,7.16
11,DECODE,30,0,30,171.57,7.14
16,DECODE,30,0,30,176.57,7.16
14,DECODE,30,0,30,174.57,7.16
15,DECODE,38,0,38,173.53,7.39
12,DECODE,30,0,30,172.57,7.15
17,DECODE,30,0,30,177.57,7.18
15,DECODE,30,0,30,175.57,7.15
16,DECODE,38,0,38,174.53,7.41
13,DECODE,30,0,30,173.57,7.14
18,DECODE,30,0,30,178.57,7.19
16,DECODE,30,0,30,176.57,7.16
14,DECODE,30,0,30,174.57,7.13
17,DECODE,38,0,38,175.53,7.41
19,DECODE,30,0,30,179.57,7.17
17,DECODE,30,0,30,177.57,7.16
15,DECODE,30,0,30,175.57,7.16
18,DECODE,38,0,38,176.53,7.41
20,DECODE,30,0,30,180.57,7.18
18,DECODE,30,0,30,178.57,7.16
16,DECODE,30,0,30,176.57,7.16
19,DECODE,38,0,38,177.53,7.42
21,DECODE,30,0,30,181.57,7.17
19,DECODE,30,0,30,179.57,7.17
17,DECODE,30,0,30,177.57,7.15
20,DECODE,38,0,38,178.53,7.43
22,DECODE,30,0,30,182.57,7.18
20,DECODE,30,0,30,180.57,7.16
18,DECODE,30,0,30,178.57,7.15
21,DECODE,38,0,38,179.53,7.41
23,DECODE,30,0,30,183.57,7.18
21,DECODE,30,0,30,181.57,7.17
19,DECODE,30,0,30,179.57,7.14
22,DECODE,38,0,38,180.53,7.41
22,DECODE,30,0,30,182.57,7.17
24,DECODE,30,0,30,184.57,7.20
20,DECODE,30,0,30,180.57,7.15
23,DECODE,38,0,38,181.53,7.44
23,DECODE,30,0,30,183.57,7.18
25,DECODE,30,0,30,185.57,7.18
21,DECODE,30,0,30,181.57,7.14
24,DECODE,38,0,38,182.53,7.42
24,DECODE,30,0,30,184.57,7.18
22,DECODE,30,0,30,182.57,7.15
26,DECODE,27,0,27,185.63,7.19
25,DECODE,38,0,38,183.53,7.42
25,DECODE,30,0,30,185.57,7.17
23,DECODE,30,0,30,183.57,7.14
26,DECODE,38,0,38,184.53,7.45
26,DECODE,28,0,28,184.96,7.17
24,DECODE,30,0,30,184.57,7.15
27,DECODE,38,0,38,185.53,7.45
25,DECODE,30,0,30,185.57,7.15
27,EXTEND,11,852,0,164.09,23.70
28,DECODE,38,0,38,186.53,7.44
26,DECODE,29,0,29,186.14,7.24
28,DECODE,37,0,37,180.35,8.35
29,DECODE,38,0,38,187.53,7.43
