pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,2,131,0,65.50,73.21
1,EXTEND,1,79,0,79.00,70.65
2,EXTEND,64,5257,0,82.14,35.67
2,EXTEND,65,5309,0,81.68,44.77
3,DECODE,66,0,66,82.64,14.21
4,DECODE,66,0,66,83.64,2.69
5,DECODE,66,0,66,84.64,2.62
6,DECODE,66,0,66,85.64,2.60
7,DECODE,66,0,66,86.64,2.59
8,DECODE,66,0,66,87.64,2.58
9,DECODE,66,0,66,88.64,2.59
3,DECODE,66,0,66,82.64,14.64
10,DECODE,66,0,66,89.64,2.58
11,DECODE,66,0,66,90.64,2.58
12,DECODE,66,0,66,91.64,2.58
4,DECODE,66,0,66,83.64,2.74
13,DECODE,66,0,66,92.64,2.60
5,DECODE,66,0,66,84.64,2.66
14,DECODE,66,0,66,93.64,2.59
6,DECODE,66,0,66,85.64,2.65
15,DECODE,66,0,66,94.64,2.59
16,DECODE,66,0,66,95.64,2.60
7,DECODE,66,0,66,86.64,2.65
17,DECODE,66,0,66,96.64,2.59
8,DECODE,66,0,66,87.64,2.64
18,DECODE,66,0,66,97.64,2.59
9,DECODE,66,0,66,88.64,2.63
19,DECODE,66,0,66,98.64,2.59
10,DECODE,66,0,66,89.64,2.63
20,DECODE,66,0,66,99.64,2.60
11,DECODE,66,0,66,90.64,2.62
21,DECODE,66,0,66,100.64,2.60
12,DECODE,66,0,66,91.64,2.61
22,DECODE,66,0,66,101.64,2.60
13,DECODE,66,0,66,92.64,2.64
23,DECODE,66,0,66,102.64,2.61
14,DECODE,66,0,66,93.64,2.61
24,DECODE,66,0,66,103.64,2.60
15,DECODE,66,0,66,94.64,2.60
25,DECODE,66,0,66,104.64,2.59
16,DECODE,66,0,66,95.64,2.60
26,DECODE,66,0,66,105.64,2.59
17,DECODE,66,0,66,96.64,2.61
27,DECODE,66,0,66,106.64,2.61
18,DECODE,66,0,66,97.64,2.61
28,DECODE,66,0,66,107.64,2.60
19,DECODE,66,0,66,98.64,2.62
29,DECODE,66,0,66,108.64,2.60
20,DECODE,66,0,66,99.64,2.61
30,DECODE,66,0,66,109.64,2.60
21,DECODE,66,0,66,100.64,2.61
31,DECODE,66,0,66,110.64,2.60
22,DECODE,66,0,66,101.64,2.60
32,DECODE,66,0,66,111.64,2.61
23,DECODE,66,0,66,102.64,2.61
33,DECODE,66,0,66,112.64,2.60
24,DECODE,66,0,66,103.64,2.61
34,DECODE,66,0,66,113.64,2.60
25,DECODE,66,0,66,104.64,2.62
35,DECODE,66,0,66,114.64,2.60
26,DECODE,66,0,66,105.64,2.62
36,DECODE,66,0,66,115.64,2.61
27,DECODE,66,0,66,106.64,2.62
37,DECODE,66,0,66,116.64,2.62
28,DECODE,66,0,66,107.64,2.62
38,DECODE,66,0,66,117.64,2.64
29,DECODE,66,0,66,108.64,2.63
39,DECODE,66,0,66,118.64,2.64
30,DECODE,66,0,66,109.64,2.61
40,DECODE,66,0,66,119.64,2.65
31,DECODE,66,0,66,110.64,2.63
41,DECODE,66,0,66,120.64,2.64
42,DECODE,66,0,66,121.64,2.64
32,DECODE,66,0,66,111.64,2.62
43,DECODE,66,0,66,122.64,2.65
33,DECODE,66,0,66,112.64,2.62
44,DECODE,66,0,66,123.64,2.65
34,DECODE,66,0,66,113.64,2.62
45,DECODE,66,0,66,124.64,2.64
35,DECODE,66,0,66,114.64,2.64
46,DECODE,66,0,66,125.64,2.66
36,DECODE,66,0,66,115.64,2.64
47,DECODE,66,0,66,126.64,2.65
37,DECODE,66,0,66,116.64,2.69
48,DECODE,66,0,66,127.64,2.66
