pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,1,340,0,340.00,37.30
1,EXTEND,2,679,0,339.50,25.26
1,EXTEND,1,340,0,340.00,36.35
1,EXTEND,1,339,0,339.00,35.36
2,EXTEND,24,8192,0,341.33,206.33
2,EXTEND,24,8192,0,341.33,191.83
2,EXTEND,24,8192,0,341.33,182.30
3,EXTEND,6,96,0,341.17,14.63
2,EXTEND,24,8192,0,341.33,181.65
3,EXTEND,7,109,0,340.86,27.82
3,EXTEND,7,110,0,340.86,24.46
3,EXTEND,8,111,0,340.88,20.42
4,DECODE,32,0,32,342.19,19.45
4,DECODE,32,0,32,342.19,20.88
5,DECODE,32,0,32,343.19,7.32
5,DECODE,32,0,32,343.19,7.41
6,DECODE,32,0,32,344.19,7.26
4,DECODE,32,0,32,342.19,20.49
4,DECODE,32,0,32,342.19,19.20
6,DECODE,32,0,32,344.19,7.39
7,DECODE,32,0,32,345.19,7.26
5,DECODE,32,0,32,343.19,7.34
5,DECODE,32,0,32,343.19,7.51
8,DECODE,32,0,32,346.19,7.26
7,DECODE,32,0,32,345.19,7.39
6,DECODE,32,0,32,344.19,7.26
6,DECODE,32,0,32,344.19,7.36
9,DECODE,32,0,32,347.19,7.27
8,DECODE,32,0,32,346.19,7.37
7,DECODE,32,0,32,345.19,7.25
7,DECODE,32,0,32,345.19,7.36
10,DECODE,32,0,32,348.19,7.27
9,DECODE,32,0,32,347.19,7.36
8,DECODE,32,0,32,346.19,7.26
8,DECODE,32,0,32,346.19,7.35
11,DECODE,32,0,32,349.19,7.28
10,DECODE,32,0,32,348.19,7.34
9,DECODE,32,0,32,347.19,7.26
9,DECODE,32,0,32,347.19,7.37
12,DECODE,32,0,32,350.19,7.29
11,DECODE,32,0,32,349.19,7.34
10,DECODE,32,0,32,348.19,7.27
10,DECODE,32,0,32,348.19,7.36
13,DECODE,32,0,32,351.19,7.32
11,DECODE,32,0,32,349.19,7.29
12,DECODE,32,0,32,350.19,7.43
11,DECODE,32,0,32,349.19,7.32
14,DECODE,32,0,32,352.19,7.32
12,DECODE,32,0,32,350.19,7.28
13,DECODE,32,0,32,351.19,7.41
12,DECODE,32,0,32,350.19,7.31
15,DECODE,32,0,32,353.19,7.31
13,DECODE,32,0,32,351.19,7.32
14,DECODE,32,0,32,352.19,7.40
13,DECODE,32,0,32,351.19,7.29
16,DECODE,32,0,32,354.19,7.32
14,DECODE,32,0,32,352.19,7.28
15,DECODE,32,0,32,353.19,7.39
14,DECODE,32,0,32,352.19,7.29
17,DECODE,32,0,32,355.19,7.30
15,DECODE,32,0,32,353.19,7.31
16,DECODE,32,0,32,354.19,7.38
15,DECODE,32,0,32,353.19,7.28
18,DECODE,32,0,32,356.19,7.29
16,DECODE,32,0,32,354.19,7.29
17,DECODE,32,0,32,355.19,7.32
16,DECODE,32,0,32,354.19,7.28
19,DECODE,32,0,32,357.19,7.29
17,DECODE,32,0,32,355.19,7.33
18,DECODE,32,0,32,356.19,7.38
17,DECODE,32,0,32,355.19,7.29
20,DECODE,32,0,32,358.19,7.30
18,DECODE,32,0,32,356.19,7.34
19,DECODE,32,0,32,357.19,7.36
18,DECODE,32,0,32,356.19,7.29
21,DECODE,32,0,32,359.19,7.32
19,DECODE,32,0,32,357.19,7.34
19,DECODE,32,0,32,357.19,7.26
20,DECODE,32,0,32,358.19,7.37
22,DECODE,32,0,32,360.19,7.29
20,DECODE,32,0,32,358.19,7.33
20,DECODE,32,0,32,358.19,7.27
21,DECODE,32,0,32,359.19,7.34
23,DECODE,32,0,32,361.19,7.29
21,DECODE,32,0,32,359.19,7.34
21,DECODE,32,0,32,359.19,7.32
22,DECODE,32,0,32,360.19,7.35
24,DECODE,32,0,32,362.19,7.29
22,DECODE,32,0,32,360.19,7.32
22,DECODE,32,0,32,360.19,7.26
25,DECODE,32,0,32,363.19,7.30
23,DECODE,32,0,32,361.19,7.43
23,DECODE,32,0,32,361.19,7.32
23,DECODE,32,0,32,361.19,7.28
26,DECODE,30,0,30,364.30,7.33
24,DECODE,32,0,32,362.19,7.37
24,DECODE,32,0,32,362.19,7.32
24,DECODE,32,0,32,362.19,7.27
27,DECODE,30,0,30,365.30,7.29
25,DECODE,32,0,32,363.19,7.35
25,DECODE,32,0,32,363.19,7.33
25,DECODE,31,0,31,363.26,7.33
28,DECODE,27,0,27,366.41,7.31
26,DECODE,31,0,31,364.23,7.40
26,DECODE,30,0,30,364.30,7.39
26,DECODE,31,0,31,364.26,7.28
29,DECODE,27,0,27,367.41,7.31
27,DECODE,29,0,29,365.38,7.39
27,DECODE,27,0,27,365.52,7.34
27,DECODE,28,0,28,365.46,7.27
30,DECODE,21,0,21,368.33,8.17
28,DECODE,25,0,25,366.36,7.42
28,DECODE,24,0,24,366.62,8.32
28,DECODE,26,0,26,366.50,7.26
31,DECODE,16,0,16,369.25,8.02
29,DECODE,21,0,21,367.38,8.29
29,DECODE,20,0,20,367.55,7.26
29,DECODE,22,0,22,367.50,8.14
32,DECODE,12,0,12,370.33,7.92
30,DECODE,16,0,16,368.44,8.05
30,DECODE,14,0,14,368.71,8.22
30,DECODE,17,0,17,368.53,7.18
33,DECODE,6,0,6,370.83,7.54
31,DECODE,10,0,10,369.90,7.93
31,DECODE,9,0,9,370.44,8.25
31,DECODE,13,0,13,369.46,7.16
34,DECODE,5,0,5,371.80,6.90
32,DECODE,10,0,10,370.90,6.97
32,DECODE,8,0,8,371.62,7.65
32,DECODE,9,0,9,370.44,8.30
35,DECODE,3,0,3,372.67,7.81
33,DECODE,8,0,8,372.50,7.88
33,DECODE,6,0,6,373.33,6.98
33,DECODE,7,0,7,372.00,7.64
36,DECODE,2,0,2,374.50,7.69
34,DECODE,7,0,7,373.71,6.88
34,DECODE,6,0,6,374.33,6.94
34,DECODE,6,0,6,373.33,7.05
35,DECODE,5,0,5,373.40,6.86
35,DECODE,5,0,5,375.00,6.94
35,DECODE,5,0,5,375.00,7.08
36,DECODE,5,0,5,374.40,6.86
36,DECODE,4,0,4,375.50,7.97
36,DECODE,4,0,4,376.50,7.85
37,DECODE,5,0,5,375.40,6.90
37,DECODE,4,0,4,376.50,6.79
38,DECODE,4,0,4,376.25,6.93
37,DECODE,3,0,3,376.33,6.92
38,EXTEND,6,82,0,340.50,16.99
39,EXTEND,8,108,0,340.50,16.00
40,DECODE,11,0,11,351.36,6.98
39,EXTEND,2,26,0,340.50,14.44
38,EXTEND,8,108,0,340.50,18.19
