pass_id,mode,batch_size,prefill_tokens,decode_tokens,avg_seq_len,forward_time_ms
1,EXTEND,1,373,0,373.00,58.63
1,EXTEND,1,408,0,408.00,63.18
1,EXTEND,1,408,0,408.00,52.19
1,EXTEND,1,408,0,408.00,47.56
2,EXTEND,22,8192,0,372.36,181.78
2,EXTEND,22,8192,0,372.36,186.46
2,EXTEND,22,8192,0,372.36,188.65
2,EXTEND,22,8192,0,372.36,185.69
3,EXTEND,13,1163,0,383.38,29.93
3,EXTEND,13,1163,0,383.38,30.26
3,EXTEND,13,1199,0,383.69,30.95
3,EXTEND,13,1163,0,383.38,31.42
4,DECODE,35,0,35,383.86,19.55
4,DECODE,35,0,35,383.86,19.54
5,DECODE,35,0,35,384.86,7.67
5,DECODE,35,0,35,384.86,7.79
4,DECODE,35,0,35,383.86,19.59
6,DECODE,35,0,35,385.86,7.64
6,DECODE,35,0,35,385.86,7.71
5,DECODE,35,0,35,384.86,7.69
7,DECODE,35,0,35,386.86,7.62
4,DECODE,35,0,35,383.86,20.72
7,DECODE,35,0,35,386.86,7.71
6,DECODE,35,0,35,385.86,7.62
8,DECODE,35,0,35,387.86,7.61
5,DECODE,35,0,35,384.86,7.74
8,DECODE,35,0,35,387.86,7.69
7,DECODE,35,0,35,386.86,7.67
9,DECODE,35,0,35,388.86,7.60
6,DECODE,35,0,35,385.86,7.72
9,DECODE,35,0,35,388.86,7.69
8,DECODE,35,0,35,387.86,7.64
10,DECODE,35,0,35,389.86,7.60
7,DECODE,35,0,35,386.86,7.70
10,DECODE,35,0,35,389.86,7.70
9,DECODE,35,0,35,388.86,7.63
11,DECODE,35,0,35,390.86,7.60
8,DECODE,35,0,35,387.86,7.70
10,DECODE,35,0,35,389.86,7.62
11,DECODE,35,0,35,390.86,7.68
12,DECODE,35,0,35,391.86,7.61
9,DECODE,35,0,35,388.86,7.71
13,DECODE,35,0,35,392.86,7.60
11,DECODE,35,0,35,390.86,7.67
12,DECODE,35,0,35,391.86,7.67
10,DECODE,35,0,35,389.86,7.69
14,DECODE,35,0,35,393.86,7.60
12,DECODE,35,0,35,391.86,7.66
13,DECODE,35,0,35,392.86,7.67
11,DECODE,35,0,35,390.86,7.69
15,DECODE,35,0,35,394.86,7.62
13,DECODE,35,0,35,392.86,7.63
14,DECODE,35,0,35,393.86,7.68
16,DECODE,35,0,35,395.86,7.60
12,DECODE,35,0,35,391.86,7.69
14,DECODE,35,0,35,393.86,7.63
15,DECODE,35,0,35,394.86,7.68
17,DECODE,35,0,35,396.86,7.59
13,DECODE,35,0,35,392.86,7.71
15,DECODE,35,0,35,394.86,7.65
16,DECODE,35,0,35,395.86,7.66
18,DECODE,35,0,35,397.86,7.60
16,DECODE,35,0,35,395.86,7.66
14,DECODE,35,0,35,393.86,7.72
17,DECODE,35,0,35,396.86,7.67
19,DECODE,35,0,35,398.86,7.61
17,DECODE,35,0,35,396.86,7.67
15,DECODE,35,0,35,394.86,7.71
18,DECODE,35,0,35,397.86,7.67
20,DECODE,35,0,35,399.86,7.60
18,DECODE,35,0,35,397.86,7.67
16,DECODE,35,0,35,395.86,7.69
19,DECODE,35,0,35,398.86,7.67
21,DECODE,35,0,35,400.86,7.60
19,DECODE,35,0,35,398.86,7.66
17,DECODE,35,0,35,396.86,7.68
20,DECODE,35,0,35,399.86,7.67
22,DECODE,35,0,35,401.86,7.60
20,DECODE,35,0,35,399.86,7.69
18,DECODE,35,0,35,397.86,7.69
21,DECODE,35,0,35,400.86,7.66
23,DECODE,35,0,35,402.86,7.60
21,DECODE,35,0,35,400.86,7.67
19,DECODE,35,0,35,398.86,7.69
22,DECODE,35,0,35,401.86,7.67
24,DECODE,35,0,35,403.86,7.60
22,DECODE,35,0,35,401.86,7.69
20,DECODE,35,0,35,399.86,7.68
23,DECODE,35,0,35,402.86,7.68
25,DECODE,35,0,35,404.86,7.60
23,DECODE,35,0,35,402.86,7.68
21,DECODE,35,0,35,400.86,7.72
24,DECODE,35,0,35,403.86,7.67
26,DECODE,35,0,35,405.86,7.62
24,DECODE,35,0,35,403.86,7.69
22,DECODE,35,0,35,401.86,7.69
25,DECODE,35,0,35,404.86,7.69
27,DECODE,35,0,35,406.86,7.61
25,DECODE,35,0,35,404.86,7.66
23,DECODE,35,0,35,402.86,7.68
26,DECODE,35,0,35,405.86,7.72
28,DECODE,35,0,35,407.86,7.64
26,DECODE,35,0,35,405.86,7.69
24,DECODE,35,0,35,403.86,7.71
29,DECODE,35,0,35,408.86,7.65
27,DECODE,35,0,35,406.86,7.74
27,DECODE,35,0,35,406.86,7.68
30,DECODE,35,0,35,409.86,7.64
25,DECODE,35,0,35,404.86,7.71
28,DECODE,35,0,35,407.86,7.72
28,DECODE,35,0,35,407.86,7.70
31,DECODE,35,0,35,410.86,7.66
26,DECODE,35,0,35,405.86,7.70
29,DECODE,35,0,35,408.86,7.74
29,DECODE,35,0,35,408.86,7.72
32,DECODE,35,0,35,411.86,7.71
27,DECODE,35,0,35,406.86,7.71
30,DECODE,35,0,35,409.86,7.72
30,DECODE,35,0,35,409.86,7.72
33,DECODE,35,0,35,412.86,7.69
28,DECODE,35,0,35,407.86,7.69
31,DECODE,35,0,35,410.86,7.72
34,DECODE,35,0,35,413.86,7.72
31,DECODE,35,0,35,410.86,7.78
29,DECODE,35,0,35,408.86,7.75
32,DECODE,35,0,35,411.86,7.75
35,DECODE,35,0,35,414.86,7.70
32,DECODE,35,0,35,411.86,7.81
30,DECODE,35,0,35,409.86,7.74
33,DECODE,35,0,35,412.86,7.76
36,DECODE,35,0,35,415.86,7.69
33,DECODE,35,0,35,412.86,7.79
31,DECODE,35,0,35,410.86,7.74
34,DECODE,35,0,35,413.86,7.76
37,DECODE,35,0,35,416.86,7.69
34,DECODE,35,0,35,413.86,7.79
35,DECODE,35,0,35,414.86,7.75
32,DECODE,35,0,35,411.86,7.83
38,DECODE,35,0,35,417.86,7.69
35,DECODE,35,0,35,414.86,7.77
36,DECODE,35,0,35,415.86,7.73
33,DECODE,35,0,35,412.86,7.77
39,DECODE,35,0,35,418.86,7.76
36,DECODE,35,0,35,415.86,7.74
37,DECODE,35,0,35,416.86,7.73
34,DECODE,35,0,35,413.86,7.77
40,DECODE,35,0,35,419.86,7.68
37,DECODE,35,0,35,416.86,7.74
38,DECODE,35,0,35,417.86,7.77
35,DECODE,35,0,35,414.86,7.73
41,DECODE,35,0,35,420.86,7.68
38,DECODE,35,0,35,417.86,7.73
39,DECODE,35,0,35,418.86,7.73
36,DECODE,35,0,35,415.86,7.74
42,DECODE,35,0,35,421.86,7.68
39,DECODE,35,0,35,418.86,7.70
40,DECODE,35,0,35,419.86,7.73
37,DECODE,35,0,35,416.86,7.71
43,DECODE,35,0,35,422.86,7.68
40,DECODE,35,0,35,419.86,7.69
41,DECODE,35,0,35,420.86,7.72
38,DECODE,35,0,35,417.86,7.71
44,DECODE,35,0,35,423.86,7.68
41,DECODE,35,0,35,420.86,7.68
42,DECODE,35,0,35,421.86,7.73
39,DECODE,35,0,35,418.86,7.71
45,DECODE,35,0,35,424.86,7.69
42,DECODE,35,0,35,421.86,7.68
43,DECODE,35,0,35,422.86,7.73
40,DECODE,35,0,35,419.86,7.71
46,DECODE,35,0,35,425.86,7.69
43,DECODE,35,0,35,422.86,7.69
44,DECODE,35,0,35,423.86,7.73
47,DECODE,35,0,35,426.86,7.69
41,DECODE,35,0,35,420.86,7.71
44,DECODE,35,0,35,423.86,7.70
45,DECODE,35,0,35,424.86,7.75
48,DECODE,35,0,35,427.86,7.68
42,DECODE,35,0,35,421.86,7.71
45,DECODE,35,0,35,424.86,7.74
46,DECODE,35,0,35,425.86,7.74
49,DECODE,35,0,35,428.86,7.69
43,DECODE,35,0,35,422.86,7.73
46,DECODE,35,0,35,425.86,7.73
47,DECODE,35,0,35,426.86,7.74
50,DECODE,35,0,35,429.86,7.69
44,DECODE,35,0,35,423.86,7.72
47,DECODE,35,0,35,426.86,7.74
48,DECODE,35,0,35,427.86,7.74
51,DECODE,35,0,35,430.86,7.69
45,DECODE,35,0,35,424.86,7.73
48,DECODE,35,0,35,427.86,7.71
52,DECODE,35,0,35,431.86,7.70
49,DECODE,35,0,35,428.86,7.74
46,DECODE,35,0,35,425.86,7.72
49,DECODE,35,0,35,428.86,7.70
53,DECODE,35,0,35,432.86,7.70
50,DECODE,35,0,35,429.86,7.74
47,DECODE,35,0,35,426.86,7.75
50,DECODE,35,0,35,429.86,7.71
54,DECODE,35,0,35,433.86,7.70
51,DECODE,35,0,35,430.86,7.74
48,DECODE,35,0,35,427.86,7.73
51,DECODE,35,0,35,430.86,7.71
55,DECODE,35,0,35,434.86,7.71
52,DECODE,35,0,35,431.86,7.77
49,DECODE,35,0,35,428.86,7.82
52,DECODE,35,0,35,431.86,7.84
56,DECODE,35,0,35,435.86,7.86
53,DECODE,35,0,35,432.86,7.84
50,DECODE,35,0,35,429.86,7.94
53,DECODE,35,0,35,432.86,7.96
57,DECODE,35,0,35,436.86,7.83
54,DECODE,35,0,35,433.86,7.87
51,DECODE,35,0,35,430.86,7.94
54,DECODE,35,0,35,433.86,7.93
58,DECODE,35,0,35,437.86,7.82
55,DECODE,35,0,35,434.86,7.94
52,DECODE,35,0,35,431.86,7.92
55,DECODE,35,0,35,434.86,7.91
59,DECODE,35,0,35,438.86,7.82
56,DECODE,35,0,35,435.86,8.16
53,DECODE,35,0,35,432.86,7.89
56,DECODE,35,0,35,435.86,7.87
